证券代码,交易所,symbol,证券名称
159185,SZ,SZ159185,港股通信息技术ETF鹏华
159186,SZ,SZ159186,港股通汽车ETF鹏华
159179,SZ,SZ159179,港股通互联网ETF工银
159198,SZ,SZ159198,港股通信息技术ETF富国
159196,SZ,SZ159196,港股通信息技术ETF易方达
159191,SZ,SZ159191,港股通科技ETF易方达
159170,SZ,SZ159170,港股通互联网ETF永赢
159169,SZ,SZ159169,恒生生物科技ETF广发
159167,SZ,SZ159167,港股通医疗ETF工银
159135,SZ,SZ159135,港股通科技ETF前海开源
159152,SZ,SZ159152,港股通科技ETF平安
159137,SZ,SZ159137,港股通医疗ETF华宝
159143,SZ,SZ159143,港股通央企红利ETF平安
159132,SZ,SZ159132,恒生生物科技ETF富国
159118,SZ,SZ159118,港股通红利低波ETF华夏
159130,SZ,SZ159130,恒生生物科技ETF鹏华
159121,SZ,SZ159121,港股通汽车ETF易方达
159127,SZ,SZ159127,港股通红利ETF南方
159100,SZ,SZ159100,巴西ETF华夏
159120,SZ,SZ159120,港股通科技ETF国联安
159128,SZ,SZ159128,港股科技ETF天弘
159131,SZ,SZ159131,港股通信息技术ETF华宝
159125,SZ,SZ159125,港股通科技ETF招商
159105,SZ,SZ159105,恒生生物科技ETF易方达
159126,SZ,SZ159126,港股通50ETF南方
159285,SZ,SZ159285,港股通消费ETF华安
159117,SZ,SZ159117,港股通红利低波ETF鹏华
159109,SZ,SZ159109,恒生50ETF景顺
159297,SZ,SZ159297,港股通创新药ETF南方
159102,SZ,SZ159102,港股通生物科技ETF华安
159101,SZ,SZ159101,港股通科技ETF华夏
159281,SZ,SZ159281,港股央企红利ETF天弘
159286,SZ,SZ159286,港股通创新药ETF鹏华
159280,SZ,SZ159280,港股通互联网ETF汇添富
159277,SZ,SZ159277,港股通红利ETF富国
159271,SZ,SZ159271,恒生ETF鹏华
159266,SZ,SZ159266,港股央企红利ETF永赢
159251,SZ,SZ159251,港股通科技ETF万家
159268,SZ,SZ159268,港股通消费ETF汇添富
159269,SZ,SZ159269,港股通科技ETF南方
159237,SZ,SZ159237,港股汽车ETF工银
159262,SZ,SZ159262,港股通科技ETF广发
159265,SZ,SZ159265,港股消费ETF鹏华
159365,SZ,SZ159365,恒指港股通ETF富国
159245,SZ,SZ159245,港股通消费ETF富国
159210,SZ,SZ159210,港股通汽车ETF汇添富
159239,SZ,SZ159239,港股通汽车ETF富国
159220,SZ,SZ159220,港股通红利低波ETF华宝
159202,SZ,SZ159202,恒生互联网ETF万家
159366,SZ,SZ159366,港股医疗ETF永赢
159217,SZ,SZ159217,港股通创新药ETF工银
159316,SZ,SZ159316,港股通创新药ETF易方达
159323,SZ,SZ159323,港股通汽车ETF华夏
159312,SZ,SZ159312,恒指港股通ETF广发
159333,SZ,SZ159333,港股央企红利ETF万家
159302,SZ,SZ159302,港股高股息ETF银华
159569,SZ,SZ159569,港股红利低波ETF景顺
159331,SZ,SZ159331,红利港股ETF国泰
159329,SZ,SZ159329,沙特ETF南方
159303,SZ,SZ159303,恒生医疗ETF大成
159318,SZ,SZ159318,恒指港股通ETF银华
159557,SZ,SZ159557,恒生医疗ETF嘉实
159561,SZ,SZ159561,德国ETF嘉实
159545,SZ,SZ159545,恒生红利低波ETF易方达
159568,SZ,SZ159568,港股互联网ETF博时
159577,SZ,SZ159577,美国50ETF
159529,SZ,SZ159529,标普消费ETF景顺
159570,SZ,SZ159570,港股通创新药ETF汇添富
159567,SZ,SZ159567,港股创新药ETF银华
159502,SZ,SZ159502,标普生物科技ETF嘉实
159518,SZ,SZ159518,标普油气ETF嘉实
159519,SZ,SZ159519,港股国企ETF国泰
159696,SZ,SZ159696,纳指ETF易方达
159699,SZ,SZ159699,恒生消费ETF广发
159509,SZ,SZ159509,纳指科技ETF景顺
159513,SZ,SZ159513,纳斯达克100ETF大成
159506,SZ,SZ159506,港股通医疗ETF富国
159501,SZ,SZ159501,纳指ETF嘉实
159659,SZ,SZ159659,纳斯达克100ETF招商
159691,SZ,SZ159691,港股红利ETF工银
159660,SZ,SZ159660,纳指ETF汇添富
159688,SZ,SZ159688,恒生互联网ETF华安
159687,SZ,SZ159687,亚太精选ETF南方
159655,SZ,SZ159655,标普500ETF华夏
159632,SZ,SZ159632,纳斯达克ETF华安
159636,SZ,SZ159636,港股通科技30ETF工银
159615,SZ,SZ159615,恒生生物科技ETF南方
159612,SZ,SZ159612,标普500ETF国泰
159776,SZ,SZ159776,港股医药ETF银华
